CO,MQ135,Temperature,Humidity,CO2,TVOC,DustDensity
165,39.0,33.3,43.0,561.0,24.0,0.0
167,43.0,33.3,43.0,549.0,22.0,4.0
164,38.0,33.3,43.0,548.0,22.0,1.0
163,38.0,33.3,43.0,545.0,22.0,0.0
164,37.0,33.3,43.0,537.0,20.0,0.0
164,37.0,33.3,43.0,540.0,21.0,0.0
168,37.0,33.3,43.0,539.0,21.0,8.0
164,41.0,33.3,43.0,548.0,22.0,3.0
165,41.0,33.3,43.0,546.0,22.0,0.0
167,38.0,33.3,43.0,533.0,20.0,0.0
171,47.0,33.3,43.0,543.0,21.0,233.0
165,38.0,33.3,43.0,539.0,21.0,0.0
172,41.0,33.3,43.0,514.0,17.0,0.0
169,43.0,33.3,42.0,537.0,20.0,4.0
165,42.0,33.3,42.0,527.0,19.0,2.0
167,41.0,33.3,41.0,545.0,22.0,2.0
167,38.0,33.3,42.0,480.0,12.0,0.0
167,38.0,33.3,42.0,549.0,22.0,15.0
174,40.0,33.3,42.0,540.0,21.0,0.0
174,40.0,33.3,42.0,523.0,18.0,0.0
168,38.0,33.3,42.0,555.0,23.0,0.0
171,40.0,33.3,42.0,553.0,23.0,6.0
169,42.0,33.3,42.0,574.0,26.0,0.0
165,38.0,33.3,42.0,577.0,26.0,23.0
170,40.0,33.3,42.0,569.0,25.0,0.0
166,39.0,33.3,42.0,569.0,25.0,0.0
163,38.0,33.3,42.0,578.0,27.0,1.0
164,37.0,33.3,42.0,594.0,29.0,0.0
168,37.0,33.4,42.0,581.0,27.0,0.0
163,38.0,33.7,42.0,589.0,28.0,0.0
171,41.0,33.8,42.0,591.0,29.0,2.0
167,38.0,33.7,42.0,584.0,28.0,0.0
180,40.0,33.4,43.0,592.0,29.0,0.0
176,40.0,33.3,43.0,603.0,30.0,0.0
171,39.0,33.3,43.0,607.0,31.0,25.0
176,39.0,33.3,43.0,577.0,26.0,0.0
167,38.0,33.7,43.0,566.0,25.0,0.0
176,40.0,33.8,42.0,553.0,23.0,0.0
167,42.0,33.8,42.0,531.0,19.0,4.0
174,50.0,33.7,41.0,472.0,10.0,22.0
180,40.0,33.7,41.0,549.0,22.0,2.0
173,35.0,33.4,41.0,555.0,23.0,0.0
171,41.0,33.3,41.0,560.0,24.0,0.0
167,43.0,33.3,41.0,555.0,23.0,3.0
176,42.0,33.3,41.0,553.0,23.0,4.0
168,38.0,33.3,41.0,549.0,22.0,0.0
169,39.0,33.7,41.0,540.0,21.0,0.0
167,38.0,33.4,41.0,476.0,11.0,0.0
