OCCUPANCY,WINDOW,IAQ,CO2,RH,Tin,MONTH_NUM,CO2_x_OCCUPANCY,CO2_x_WINDOW,WINDOW_x_OCCUPANCY,Temp_x_RH,Air_Quality_Label
0,0,78.35,410.02,53.57,26.11,9,0.0,0.0,0,1398.7127,Good
0,0,79.07,409.63,53.57,26.11,9,0.0,0.0,0,1398.7127,Good
0,0,78.57,408.97,53.57,26.11,9,0.0,0.0,0,1398.7127,Good
0,0,77.8,408.05,53.57,26.1,9,0.0,0.0,0,1398.1770000000001,Good
0,0,77.68,408.2,53.58,26.1,9,0.0,0.0,0,1398.438,Good
0,0,77.1,406.05,53.58,26.1,9,0.0,0.0,0,1398.438,Good
0,0,78.68,404.52,53.58,26.1,9,0.0,0.0,0,1398.438,Good
0,0,78.9,404.72,53.58,26.1,9,0.0,0.0,0,1398.438,Good
0,0,78.88,405.35,53.58,26.1,9,0.0,0.0,0,1398.438,Good
0,0,77.95,406.22,53.59,26.09,9,0.0,0.0,0,1398.1631,Good
0,0,78.53,405.0,53.59,26.09,9,0.0,0.0,0,1398.1631,Good
0,0,79.93,403.43,53.59,26.09,9,0.0,0.0,0,1398.1631,Good
0,0,78.05,403.27,53.58,26.09,9,0.0,0.0,0,1397.9022,Good
0,0,78.9,406.77,53.59,26.08,9,0.0,0.0,0,1397.6272,Good
0,0,77.82,406.35,53.59,26.08,9,0.0,0.0,0,1397.6272,Good
0,0,79.47,404.65,53.63,26.08,9,0.0,0.0,0,1398.6704,Good
0,0,79.32,403.5,53.67,26.08,9,0.0,0.0,0,1399.7136,Good
0,0,78.93,402.73,53.63,26.08,9,0.0,0.0,0,1398.6704,Good
0,0,77.75,403.32,53.67,26.08,9,0.0,0.0,0,1399.7136,Good
0,0,78.65,402.73,53.68,26.08,9,0.0,0.0,0,1399.9743999999998,Good
0,0,80.95,400.83,53.68,26.07,9,0.0,0.0,0,1399.4376,Good
0,0,81.48,401.72,53.68,26.08,9,0.0,0.0,0,1399.9743999999998,Good
0,0,79.57,401.85,53.68,26.07,9,0.0,0.0,0,1399.4376,Good
0,0,81.05,401.97,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,79.47,402.18,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,79.27,403.73,53.68,26.06,9,0.0,0.0,0,1398.9008,Good
0,0,81.4,404.43,53.68,26.07,9,0.0,0.0,0,1399.4376,Good
0,0,80.3,403.2,53.68,26.07,9,0.0,0.0,0,1399.4376,Good
